序号,1.您的性别是：,2.您的年龄段：,3.您目前的职业是：,4.您目前的家庭收入情况为：,5.您是否了解人工智能这一概念？,6.您所认为的人工智能是什么?,7. 您是否拥有或使用过人工智能设备在家庭生活中？（如智能家居、健康追踪设备、无人驾驶汽车、智能娱乐设备等）,8. 如果您拥有或使用过智能家居等人工智能设备，您认为它们对家庭生活的影响如何？,9. 您认为人工智能在家庭生活中的主要应用领域是什么？,10. 你认为人工智能在家庭生活中可能存在的问题是什么？,11. 您认为人工智能对现在的家庭生活有着怎样的影响？,12. 您认为人工智能在未来家庭生活中的发展方向是什么？,13. 您是否认为人工智能在家庭生活中的发展应该注重什么？,14. 您是否担心人工智能会取代人类在家庭生活中的角色？,15. 您是否认为人工智能在家庭生活中的应用需要更多的监管与规范？,16. 您认为未来人工智能会成为家庭生活中的主流吗？,17.您是否想要在未来家庭生活中尝试使用人工智能设备？（如智能家居、健康追踪设备、无人驾驶汽车、智能娱乐设备等）,18.您最想在未来家庭生活中尝试的人工智能设备是什么？,19.您不想在家庭生活中使用人工智能设备的原因是：,20. 您对人工智能在家庭生活中的发展有什么期待或建议？,Q6_(跳过),Q6_一种模拟人类智能行为的计算机系统或机器,Q6_其他（请注明）,Q6_其他（请注明）〖智力化结构思维〗,Q6_就是机器人,Q8_(跳过),Q8_提高了生活的便利性,Q8_提高了生活的娱乐性,Q8_提高了生活的安全性,Q8_提高了生活的舒适度,Q9_(跳过),Q9_健康监测与管理,Q9_儿童教育与娱乐,Q9_其他（请注明）〖ChatGPT〗,Q9_家庭安全与监控,Q9_日常出行,Q9_智能家居控制,Q9_社交与娱乐,Q9_购物与消费,Q10_(跳过),Q10_人机关系失衡,Q10_其他（请注明）〖不可能完全替代人〗,Q10_对人类智力的替代性威胁,Q10_技术故障与不稳定性,Q10_社会交往与互动的减少,Q10_隐私安全问题,Q12_(跳过),Q12_更个性化的智能助理,Q12_更智能化的儿童教育与娱乐,Q12_更智能化的家居设备,Q12_更智能化的家庭健康管理,Q12_更智能化的家庭安全与监控,Q13_(跳过),Q13_与人的情感交流,Q13_个性化体验,Q13_其他（请注明）,Q13_其他（请注明）〖更便宜〗,Q13_其他（请注明）〖重视〗,Q13_安全性能提升（隐私保护、防监控等）,Q13_完善技术,Q13_平衡人机关系,Q13_更加便利,Q18_(跳过),Q18_健康追踪系统（监控睡眠状况、血压水平等）,Q18_其他（请注明）,Q18_其他（请注明）〖育儿智能助手，智能养老助手〗,Q18_其他（请注明）〖重视起来〗,Q18_无人驾驶汽车,Q18_智能娱乐设备,Q18_智能家居,Q18_智能车载,Q19_(跳过),Q19_价格太贵,Q19_其他（请注明）,Q19_安全性不确定（担心监视、信息泄露等）,Q19_更喜欢遵循传统
16,1,1,0,0,1,一种模拟人类智能行为的计算机系统或机器,是,提高了生活的便利性┋提高了生活的安全性┋提高了生活的舒适度┋提高了生活的娱乐性,智能家居控制┋健康监测与管理┋家庭安全与监控┋日常出行┋儿童教育与娱乐┋购物与消费┋社交与娱乐,隐私安全问题┋技术故障与不稳定性,2.0,更智能化的家居设备┋更智能化的家庭健康管理,完善技术┋平衡人机关系┋安全性能提升（隐私保护、防监控等）,1.0,3.0,1.0,1.0,智能家居,(跳过),暂无,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17,1,1,0,2,1,一种模拟人类智能行为的计算机系统或机器,是,提高了生活的便利性┋提高了生活的安全性┋提高了生活的舒适度┋提高了生活的娱乐性,智能家居控制┋健康监测与管理┋家庭安全与监控┋儿童教育与娱乐┋购物与消费┋社交与娱乐,隐私安全问题┋技术故障与不稳定性,2.0,更智能化的家居设备┋更个性化的智能助理┋更智能化的家庭健康管理┋更智能化的家庭安全与监控┋更智能化的儿童教育与娱乐,完善技术┋更加便利┋个性化体验┋平衡人机关系┋安全性能提升（隐私保护、防监控等）┋与人的情感交流,0.0,3.0,2.0,1.0,智能家居┋无人驾驶汽车┋智能车载┋健康追踪系统（监控睡眠状况、血压水平等）┋智能娱乐设备,(跳过),无,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0
18,1,1,0,1,2,一种模拟人类智能行为的计算机系统或机器,是,提高了生活的便利性┋提高了生活的舒适度┋提高了生活的娱乐性,智能家居控制┋健康监测与管理┋家庭安全与监控┋日常出行,隐私安全问题┋技术故障与不稳定性,1.0,更智能化的家居设备┋更个性化的智能助理┋更智能化的家庭健康管理┋更智能化的家庭安全与监控,完善技术┋更加便利┋安全性能提升（隐私保护、防监控等）┋与人的情感交流,0.0,3.0,2.0,1.0,智能家居┋智能车载┋健康追踪系统（监控睡眠状况、血压水平等）,(跳过),在家居方面技术更完善，更加注重隐私安全方面,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
19,1,1,0,0,0,(跳过),(跳过),(跳过),(跳过),(跳过),,(跳过),(跳过),,,,,(跳过),(跳过),(跳过),1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20,1,2,7,1,2,一种模拟人类智能行为的计算机系统或机器,否,(跳过),智能家居控制┋健康监测与管理┋家庭安全与监控┋日常出行┋社交与娱乐,隐私安全问题┋人机关系失衡┋技术故障与不稳定性┋对人类智力的替代性威胁┋社会交往与互动的减少,1.0,更智能化的家居设备┋更个性化的智能助理┋更智能化的家庭健康管理┋更智能化的家庭安全与监控┋更智能化的儿童教育与娱乐,个性化体验┋平衡人机关系┋安全性能提升（隐私保护、防监控等）,0.0,3.0,1.0,1.0,智能家居┋无人驾驶汽车,(跳过),无,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
21,0,1,0,2,3,一种模拟人类智能行为的计算机系统或机器,是,提高了生活的便利性,智能家居控制┋日常出行┋社交与娱乐┋其他（请注明）〖ChatGPT〗,隐私安全问题┋人机关系失衡┋技术故障与不稳定性┋对人类智力的替代性威胁┋社会交往与互动的减少,2.0,更智能化的家居设备┋更个性化的智能助理,完善技术┋个性化体验┋安全性能提升（隐私保护、防监控等）┋与人的情感交流,0.0,3.0,2.0,1.0,智能家居┋无人驾驶汽车┋智能车载┋健康追踪系统（监控睡眠状况、血压水平等）┋智能娱乐设备,(跳过),好,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0
22,1,1,0,1,1,一种模拟人类智能行为的计算机系统或机器,否,(跳过),智能家居控制┋社交与娱乐,隐私安全问题┋对人类智力的替代性威胁,1.0,更智能化的家居设备┋更个性化的智能助理,完善技术┋个性化体验┋安全性能提升（隐私保护、防监控等）,0.0,3.0,1.0,1.0,智能娱乐设备,(跳过),帮我做家务,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
23,0,1,1,1,2,一种模拟人类智能行为的计算机系统或机器,是,提高了生活的便利性┋提高了生活的舒适度,智能家居控制┋家庭安全与监控┋社交与娱乐,隐私安全问题┋技术故障与不稳定性,2.0,更智能化的家居设备┋更个性化的智能助理┋更智能化的家庭健康管理┋更智能化的家庭安全与监控,更加便利┋平衡人机关系┋安全性能提升（隐私保护、防监控等）,0.0,3.0,2.0,1.0,智能家居┋健康追踪系统（监控睡眠状况、血压水平等）,(跳过),Wu,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
24,0,1,0,1,1,一种模拟人类智能行为的计算机系统或机器,是,提高了生活的便利性,智能家居控制┋健康监测与管理┋家庭安全与监控┋日常出行┋儿童教育与娱乐┋购物与消费┋社交与娱乐,隐私安全问题┋人机关系失衡┋技术故障与不稳定性┋对人类智力的替代性威胁┋社会交往与互动的减少,1.0,更智能化的家居设备┋更个性化的智能助理┋更智能化的家庭健康管理┋更智能化的家庭安全与监控┋更智能化的儿童教育与娱乐,完善技术┋更加便利┋个性化体验┋平衡人机关系┋安全性能提升（隐私保护、防监控等）,1.0,3.0,2.0,0.0,(跳过),更喜欢遵循传统,无,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
25,0,1,2,2,3,一种模拟人类智能行为的计算机系统或机器,否,(跳过),智能家居控制┋健康监测与管理┋家庭安全与监控,隐私安全问题┋技术故障与不稳定性┋社会交往与互动的减少,1.0,更智能化的家居设备┋更个性化的智能助理┋更智能化的家庭健康管理,更加便利┋个性化体验┋安全性能提升（隐私保护、防监控等）,0.0,3.0,0.0,0.0,(跳过),价格太贵┋更喜欢遵循传统,以人为本，不以人类为中心的文明没有意义,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
26,1,1,0,1,2,一种模拟人类智能行为的计算机系统或机器,是,提高了生活的便利性┋提高了生活的安全性┋提高了生活的娱乐性,智能家居控制┋健康监测与管理┋日常出行┋购物与消费,隐私安全问题┋人机关系失衡┋技术故障与不稳定性┋对人类智力的替代性威胁,2.0,更智能化的家居设备┋更智能化的家庭健康管理┋更智能化的家庭安全与监控,完善技术┋个性化体验┋安全性能提升（隐私保护、防监控等）,1.0,3.0,2.0,1.0,智能家居┋无人驾驶汽车┋健康追踪系统（监控睡眠状况、血压水平等）,(跳过),个性化定制生活管理,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
27,1,4,5,2,2,一种模拟人类智能行为的计算机系统或机器,是,提高了生活的安全性,健康监测与管理,技术故障与不稳定性,0.0,更智能化的儿童教育与娱乐,更加便利,0.0,0.0,0.0,0.0,(跳过),安全性不确定（担心监视、信息泄露等）,9,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
28,1,2,1,1,1,一种模拟人类智能行为的计算机系统或机器,否,(跳过),日常出行,对人类智力的替代性威胁,0.0,更智能化的家庭健康管理,个性化体验,1.0,3.0,0.0,0.0,(跳过),安全性不确定（担心监视、信息泄露等）┋其他（请注明）,无,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
29,1,4,1,1,2,一种模拟人类智能行为的计算机系统或机器,是,提高了生活的安全性,健康监测与管理,人机关系失衡,0.0,更智能化的家庭健康管理,个性化体验,1.0,3.0,0.0,1.0,智能车载,(跳过),无,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30,0,1,0,2,1,一种模拟人类智能行为的计算机系统或机器,是,提高了生活的便利性┋提高了生活的安全性┋提高了生活的舒适度┋提高了生活的娱乐性,智能家居控制┋健康监测与管理┋家庭安全与监控┋日常出行┋儿童教育与娱乐┋购物与消费┋社交与娱乐,隐私安全问题┋人机关系失衡┋技术故障与不稳定性┋对人类智力的替代性威胁┋社会交往与互动的减少,0.0,更智能化的家居设备┋更个性化的智能助理┋更智能化的家庭健康管理┋更智能化的家庭安全与监控┋更智能化的儿童教育与娱乐,完善技术┋更加便利┋个性化体验┋平衡人机关系┋安全性能提升（隐私保护、防监控等）┋与人的情感交流,1.0,1.0,2.0,1.0,无人驾驶汽车┋健康追踪系统（监控睡眠状况、血压水平等）┋其他（请注明）,(跳过),便宜点，谢谢,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
